"","RunningID","IUID","ScenStart","ScenFut","Endemicity"
"243",243,"SEN40220","IA","65A.xIA","Endemic (under MDA)"
"244",244,"SDN53199","IA","65A.xIA","Unknown"
"246",246,"SEN40174","IA","65A.xIA","Endemic (under MDA)"
"247",247,"SDN53270","IA","65A.xIA","Unknown"
"249",249,"SEN40217","IA","65A.xIA","Endemic (under MDA)"
"250",250,"SEN40173","IA","65A.xIA","Endemic (under MDA)"
"251",251,"SEN40207","IA","65A.xIA","Endemic (under MDA)"
"252",252,"SEN40208","IA","65A.xIA","Endemic (MDA not delivered)"
"253",253,"NER35319","IA","65A.xIA","Endemic (under MDA)"
"257",257,"SEN40215","IA","65A.xIA","Endemic (under MDA)"
"258",258,"SEN40219","IA","65A.xIA","Endemic (under MDA)"
"259",259,"SEN40209","IA","65A.xIA","Endemic (MDA not delivered)"
"260",260,"MLI29982","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"261",261,"MLI29988","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"264",264,"SDN53213","IA","65A.xIA","Requiring PC"
"266",266,"SEN40168","IA","65A.xIA","Endemic (under MDA)"
"267",267,"SEN40172","IA","65A.xIA","Endemic (under MDA)"
"268",268,"SDN53200","IA","65A.xIA","Unknown"
"269",269,"SEN40165","IA","65A.xIA","Endemic (under MDA)"
"270",270,"SDN53261","IA","65A.xIA","Unknown"
"271",271,"SDN53275","IA","65A.xIA","Unknown"
"272",272,"SDN53203","IA","65A.xIA","Unknown"
"273",273,"MLI30014","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"274",274,"NER35311","IA","65A.xIA","Endemic (under MDA)"
"279",279,"SEN40175","IA","65A.xIA","Endemic (under MDA)"
"280",280,"NER35334","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"281",281,"SEN40212","IA","65A.xIA","Endemic (MDA not delivered)"
"282",282,"MLI30018","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"283",283,"MLI30006","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"284",284,"BFA05368","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"285",285,"NER35312","IA","65A.xIA","Endemic (under MDA)"
"287",287,"SDN53357","IA","65A.xIA","Unknown"
"288",288,"SEN40213","IA","65A.xIA","Endemic (under MDA)"
"292",292,"SEN40164","IA","65A.xIA","Endemic (under MDA)"
"293",293,"SEN40176","IA","65A.xIA","Endemic (under MDA)"
"294",294,"MLI30040","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"295",295,"MLI30000","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"296",296,"NER35321","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"297",297,"NER35299","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"298",298,"SDN53342","IA","65A.xIA","Unknown"
"299",299,"SDN53263","IA","65A.xIA","Unknown"
"305",305,"BFA05362","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"307",307,"SDN53207","IA","65A.xIA","Requiring PC"
"308",308,"SEN40171","IA","65A.xIA","Endemic (under MDA)"
"309",309,"MLI29994","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"310",310,"NER35317","IA","65A.xIA","Endemic (under MDA)"
"313",313,"MLI30005","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"314",314,"SDN53260","IA","65A.xIA","Unknown"
"317",317,"SEN40206","IA","65A.xIA","Endemic (under MDA)"
"322",322,"BFA53006","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"325",325,"SDN53356","IA","65A.xIA","Unknown"
"326",326,"SDN53279","IA","65A.xIA","Unknown"
"327",327,"SDN53305","IA","65A.xIA","Unknown"
"331",331,"SDN53307","IA","65A.xIA","Unknown"
"332",332,"SDN53210","IA","65A.xIA","Unknown"
"335",335,"SDN53345","IA","65A.xIA","Unknown"
"338",338,"MLI29986","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"339",339,"BFA53002","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"340",340,"NER35336","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"341",341,"SDN53266","IA","65A.xIA","Unknown"
"342",342,"SDN53274","IA","65A.xIA","Unknown"
"343",343,"SDN53351","IA","65A.xIA","Unknown"
"344",344,"SDN53214","IA","65A.xIA","Requiring PC"
"345",345,"SDN53208","IA","65A.xIA","Requiring PC"
"346",346,"MLI30019","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"347",347,"BFA05333","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"349",349,"ETH19299","IA","65A.xIA","Endemic (MDA not delivered)"
"351",351,"BFA05336","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"352",352,"NER35326","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"353",353,"NGA37044","IA","65A.xIA","Endemic (under MDA)"
"354",354,"NER35308","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"355",355,"NER35298","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"358",358,"SEN40170","IA","65A.xIA","Endemic (under MDA)"
"359",359,"MLI30015","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"360",360,"BFA05370","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"361",361,"NGA37048","IA","65A.xIA","Endemic (under MDA)"
"364",364,"SDN53271","IA","65A.xIA","Unknown"
"368",368,"SEN40211","IA","65A.xIA","Endemic (under MDA)"
"371",371,"BFA05360","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"372",372,"NGA37046","IA","65A.xIA","Endemic (under MDA)"
"373",373,"NGA37059","IA","65A.xIA","Endemic (under MDA)"
"376",376,"SDN53339","IA","65A.xIA","Unknown"
"377",377,"SDN53343","IA","65A.xIA","Unknown"
"378",378,"SDN53272","IA","65A.xIA","Unknown"
"379",379,"SDN53209","IA","65A.xIA","Requiring PC"
"380",380,"SDN53211","IA","65A.xIA","Requiring PC"
"383",383,"MLI30001","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"384",384,"BFA05317","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"385",385,"NER35306","IA","65A.xIA","Endemic (under MDA)"
"386",386,"NGA36478","IA","65A.xIA","Endemic (MDA not delivered)"
"388",388,"SDN53346","IA","65A.xIA","Unknown"
"389",389,"SDN53204","IA","65A.xIA","Requiring PC"
"394",394,"NGA37053","IA","65A.xIA","Endemic (under MDA)"
"395",395,"NER35333","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"396",396,"SDN53267","IA","65A.xIA","Unknown"
"397",397,"SDN53361","IA","65A.xIA","Unknown"
"398",398,"SDN53362","IA","65A.xIA","Unknown"
"403",403,"MLI29985","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"404",404,"MLI30017","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"405",405,"NER35332","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"407",407,"SDN53363","IA","65A.xIA","Unknown"
"408",408,"SDN53303","IA","65A.xIA","Unknown"
"414",414,"SEN40182","IA","65A.xIA","Endemic (under MDA)"
"416",416,"BFA05350","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"417",417,"NER35328","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"418",418,"NER35301","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"420",420,"NGA37047","IA","65A.xIA","Endemic (under MDA)"
"421",421,"NGA37045","IA","65A.xIA","Endemic (under MDA)"
"422",422,"SDN53277","IA","65A.xIA","Unknown"
"429",429,"SEN40184","IA","65A.xIA","Endemic (under MDA)"
"430",430,"BFA05361","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"431",431,"NER35309","IA","65A.xIA","Endemic (under MDA)"
"432",432,"SDN53230","IA","65A.xIA","Unknown"
"440",440,"BFA05314","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"443",443,"SDN53304","IA","65A.xIA","Unknown"
"447",447,"SDN53259","IA","65A.xIA","Unknown"
"452",452,"SEN40180","IA","65A.xIA","Endemic (under MDA)"
"453",453,"MLI29999","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"454",454,"BFA05359","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"455",455,"BFA05335","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"457",457,"SDN53226","IA","65A.xIA","Requiring PC"
"464",464,"SEN40202","IA","65A.xIA","Endemic (MDA not delivered)"
"466",466,"MLI30012","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"467",467,"NGA37062","IA","65A.xIA","Endemic (under MDA)"
"469",469,"NGA37096","IA","65A.xIA","Endemic (under MDA)"
"470",470,"NGA37095","IA","65A.xIA","Endemic (under MDA)"
"471",471,"NGA36500","IA","65A.xIA","Endemic (MDA not delivered)"
"473",473,"SDN53225","IA","65A.xIA","Requiring PC"
"474",474,"SDN53306","IA","65A.xIA","Unknown"
"476",476,"BFA05346","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"477",477,"NGA37051","IA","65A.xIA","Endemic (under MDA)"
"478",478,"NGA36776","IA","65A.xIA","Endemic (under MDA)"
"479",479,"SDN53302","IA","65A.xIA","Unknown"
"486",486,"MLI30013","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"487",487,"NGA37041","IA","65A.xIA","Endemic (under MDA)"
"488",488,"NGA37052","IA","65A.xIA","Endemic (under MDA)"
"489",489,"NGA36767","IA","65A.xIA","Endemic (under MDA)"
"490",490,"NGA36773","IA","65A.xIA","Endemic (under MDA)"
"492",492,"SDN53221","IA","65A.xIA","Unknown"
"496",496,"NGA37090","IA","65A.xIA","Endemic (under MDA)"
"497",497,"SDN53358","IA","65A.xIA","Unknown"
"499",499,"NGA36785","IA","65A.xIA","Endemic (under MDA)"
"503",503,"SEN40223","IA","65A.xIA","Endemic (under MDA)"
"504",504,"SEN40222","IA","65A.xIA","Endemic (under MDA)"
"505",505,"BFA05363","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"507",507,"NGA37107","IA","65A.xIA","Endemic (under MDA)"
"508",508,"NGA37110","IA","65A.xIA","Endemic (under MDA)"
"509",509,"NGA36765","IA","65A.xIA","Endemic (under MDA)"
"510",510,"SDN53338","IA","65A.xIA","Unknown"
"511",511,"SEN40210","IA","65A.xIA","Endemic (under MDA)"
"512",512,"NGA36787","IA","65A.xIA","Endemic (under MDA)"
"513",513,"NGA37055","IA","65A.xIA","Endemic (under MDA)"
"514",514,"NGA37092","IA","65A.xIA","Endemic (under MDA)"
"517",517,"SDN53322","IA","65A.xIA","Unknown"
"518",518,"ETH18641","IA","65A.xIA","Endemic (MDA not delivered)"
"520",520,"BFA53001","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"521",521,"BFA05349","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"522",522,"NGA37105","IA","65A.xIA","Endemic (under MDA)"
"523",523,"NGA36463","IA","65A.xIA","Endemic (under MDA)"
"524",524,"NGA36775","IA","65A.xIA","Endemic (under MDA)"
"525",525,"NGA36759","IA","65A.xIA","Endemic (under MDA)"
"526",526,"NGA36783","IA","65A.xIA","Endemic (under MDA)"
"527",527,"NGA37089","IA","65A.xIA","Endemic (under MDA)"
"528",528,"CMR07485","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"530",530,"SEN40181","IA","65A.xIA","Endemic (under MDA)"
"531",531,"BFA05334","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"532",532,"NGA36779","IA","65A.xIA","Endemic (under MDA)"
"533",533,"NGA36760","IA","65A.xIA","Endemic (under MDA)"
"534",534,"NGA36486","IA","65A.xIA","Endemic (MDA not delivered)"
"536",536,"SDN53308","IA","65A.xIA","Unknown"
"537",537,"SDN53360","IA","65A.xIA","Unknown"
"538",538,"SDN53301","IA","65A.xIA","Unknown"
"542",542,"SEN40183","IA","65A.xIA","Endemic (MDA not delivered)"
"543",543,"MLI29996","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"544",544,"BFA05316","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"545",545,"NGA37042","IA","65A.xIA","Endemic (under MDA)"
"546",546,"NGA37043","IA","65A.xIA","Endemic (under MDA)"
"547",547,"NGA36752","IA","65A.xIA","Endemic (under MDA)"
"548",548,"NGA36751","IA","65A.xIA","Endemic (under MDA)"
"549",549,"NGA36782","IA","65A.xIA","Endemic (under MDA)"
"550",550,"NGA36659","IA","65A.xIA","Endemic (under MDA)"
"555",555,"SDN53341","IA","65A.xIA","Unknown"
"556",556,"SDN53223","IA","65A.xIA","Requiring PC"
"557",557,"SDN53318","IA","65A.xIA","Unknown"
"558",558,"SDN53239","IA","65A.xIA","Unknown"
"559",559,"SDN53264","IA","65A.xIA","Unknown"
"562",562,"BFA05365","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"563",563,"NGA37063","IA","65A.xIA","Endemic (under MDA)"
"564",564,"SDN53317","IA","65A.xIA","Unknown"
"566",566,"BFA05364","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"567",567,"NER35304","IA","65A.xIA","Endemic (under MDA)"
"568",568,"NGA36753","IA","65A.xIA","Endemic (under MDA)"
"572",572,"SEN40225","IA","65A.xIA","Endemic (under MDA)"
"573",573,"MLI30039","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"574",574,"NGA36771","IA","65A.xIA","Endemic (under MDA)"
"575",575,"NGA36680","IA","65A.xIA","Endemic (under MDA)"
"576",576,"NGA37080","IA","65A.xIA","Endemic (under MDA)"
"577",577,"NGA36503","IA","65A.xIA","Endemic (MDA not delivered)"
"578",578,"CMR07476","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"581",581,"SEN40203","IA","65A.xIA","Endemic (MDA not delivered)"
"582",582,"SEN40179","IA","65A.xIA","Endemic (under MDA)"
"583",583,"MLI30024","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"584",584,"MLI30029","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"585",585,"BFA05340","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"586",586,"BFA05347","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"587",587,"NGA36786","IA","65A.xIA","Endemic (under MDA)"
"588",588,"NGA36754","IA","65A.xIA","Endemic (under MDA)"
"589",589,"NGA36764","IA","65A.xIA","Endemic (under MDA)"
"590",590,"NGA36667","IA","65A.xIA","Endemic (under MDA)"
"591",591,"NGA36682","IA","65A.xIA","Endemic (under MDA)"
"592",592,"NGA36657","IA","65A.xIA","Endemic (under MDA)"
"593",593,"NGA36675","IA","65A.xIA","Endemic (under MDA)"
"594",594,"NGA36671","IA","65A.xIA","Endemic (under MDA)"
"595",595,"NGA36665","IA","65A.xIA","Endemic (under MDA)"
"598",598,"NGA37058","IA","65A.xIA","Endemic (under MDA)"
"599",599,"NGA37054","IA","65A.xIA","Endemic (under MDA)"
"600",600,"NGA37098","IA","65A.xIA","Endemic (under MDA)"
"601",601,"SDN53355","IA","65A.xIA","Unknown"
"603",603,"MLI29995","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"604",604,"BFA05315","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"605",605,"BFA05313","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"606",606,"BFA05339","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"607",607,"BFA05366","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"608",608,"BFA05348","IA","65A.xIA","Endemic (under MDA)"
"609",609,"NGA37060","IA","65A.xIA","Endemic (under MDA)"
"610",610,"NGA36755","IA","65A.xIA","Endemic (under MDA)"
"611",611,"NGA36672","IA","65A.xIA","Endemic (under MDA)"
"612",612,"NGA36673","IA","65A.xIA","Endemic (under MDA)"
"613",613,"NGA36501","IA","65A.xIA","Endemic (under MDA)"
"614",614,"CMR07487","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"615",615,"SDN53328","IA","65A.xIA","Requiring PC"
"616",616,"GNB23708","IA","65A.xIA","Not reported"
"617",617,"GNB23706","IA","65A.xIA","Not reported"
"618",618,"GNB23705","IA","65A.xIA","Not reported"
"619",619,"GNB23658","IA","65A.xIA","Not reported"
"620",620,"GNB23668","IA","65A.xIA","Not reported"
"621",621,"GNB23666","IA","65A.xIA","Not reported"
"622",622,"GNB23709","IA","65A.xIA","Not reported"
"623",623,"GNB23725","IA","65A.xIA","Not reported"
"624",624,"GNB23712","IA","65A.xIA","Not reported"
"625",625,"GIN22608","IA","65A.xIA","Endemic (MDA not delivered)"
"626",626,"NGA37104","IA","65A.xIA","Endemic (under MDA)"
"627",627,"NGA36679","IA","65A.xIA","Endemic (under MDA)"
"628",628,"NGA36664","IA","65A.xIA","Endemic (under MDA)"
"629",629,"NGA36676","IA","65A.xIA","Endemic (under MDA)"
"632",632,"SDN53229","IA","65A.xIA","Unknown"
"633",633,"ETH18650","IA","65A.xIA","Endemic (MDA not delivered)"
"637",637,"SEN40226","IA","65A.xIA","Endemic (under MDA)"
"638",638,"GNB23707","IA","65A.xIA","Not reported"
"639",639,"GNB23716","IA","65A.xIA","Not reported"
"640",640,"BFA05324","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"641",641,"NGA36793","IA","65A.xIA","Endemic (under MDA)"
"642",642,"NGA37099","IA","65A.xIA","Endemic (under MDA)"
"643",643,"NGA36781","IA","65A.xIA","Endemic (under MDA)"
"645",645,"SDN53330","IA","65A.xIA","Requiring PC"
"648",648,"SEN40224","IA","65A.xIA","Endemic (under MDA)"
"649",649,"GNB23717","IA","65A.xIA","Not reported"
"650",650,"NGA36789","IA","65A.xIA","Endemic (MDA not delivered)"
"651",651,"NGA37108","IA","65A.xIA","Endemic (under MDA)"
"652",652,"NGA36769","IA","65A.xIA","Endemic (under MDA)"
"653",653,"NGA36713","IA","65A.xIA","Endemic (under MDA)"
"654",654,"NGA36662","IA","65A.xIA","Endemic (under MDA)"
"655",655,"NGA36497","IA","65A.xIA","Endemic (MDA not delivered)"
"657",657,"SDN53227","IA","65A.xIA","Requiring PC"
"658",658,"GNB23661","IA","65A.xIA","Not reported"
"659",659,"GNB23659","IA","65A.xIA","Not reported"
"660",660,"GNB23720","IA","65A.xIA","Not reported"
"661",661,"GNB23726","IA","65A.xIA","Not reported"
"662",662,"GNB23711","IA","65A.xIA","Not reported"
"663",663,"BFA05337","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"664",664,"BFA05330","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"665",665,"NGA36761","IA","65A.xIA","Endemic (under MDA)"
"666",666,"NGA36772","IA","65A.xIA","Endemic (under MDA)"
"667",667,"NGA36731","IA","65A.xIA","Endemic (under MDA)"
"668",668,"NGA36734","IA","65A.xIA","Endemic (under MDA)"
"669",669,"NGA36663","IA","65A.xIA","Endemic (under MDA)"
"670",670,"SDN53219","IA","65A.xIA","Requiring PC"
"673",673,"GNB23691","IA","65A.xIA","Not reported"
"674",674,"GNB23704","IA","65A.xIA","Not reported"
"675",675,"GNB23727","IA","65A.xIA","Not reported"
"676",676,"GIN22638","IA","65A.xIA","Endemic (MDA not delivered)"
"677",677,"MLI29997","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"678",678,"BFA05325","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"679",679,"BFA05322","IA","65A.xIA","Endemic (under MDA)"
"682",682,"SDN53352","IA","65A.xIA","Requiring PC"
"685",685,"GNB23702","IA","65A.xIA","Not reported"
"686",686,"GNB23700","IA","65A.xIA","Not reported"
"687",687,"GNB23696","IA","65A.xIA","Not reported"
"688",688,"GNB23735","IA","65A.xIA","Not reported"
"689",689,"GNB23662","IA","65A.xIA","Not reported"
"690",690,"GNB23724","IA","65A.xIA","Not reported"
"691",691,"GIN22630","IA","65A.xIA","Endemic (MDA not delivered)"
"692",692,"NGA37106","IA","65A.xIA","Endemic (under MDA)"
"693",693,"NGA37101","IA","65A.xIA","Endemic (under MDA)"
"695",695,"SDN53349","IA","65A.xIA","Requiring PC"
"696",696,"SDN53217","IA","65A.xIA","Requiring PC"
"697",697,"GNB23688","IA","65A.xIA","Not reported"
"698",698,"GNB23732","IA","65A.xIA","Not reported"
"699",699,"GNB23739","IA","65A.xIA","Not reported"
"700",700,"GNB23715","IA","65A.xIA","Not reported"
"701",701,"BEN03214","IA","65A.xIA","Endemic (under post-intervention surveillance)"
